file,level,abs_comp_ratio,rel_comp_ratio,rel_comp_time
dickens,5,0.38480508015445947,0.9904868332165337,0.37735849056603776
dickens,6,0.38149360810937827,1.0012529976281626,0.3488372093023256
dickens,7,0.37951243499352366,0.9992061960620815,0.35135135135135137
dickens,8,0.3773607434368551,0.994600103281235,0.36
dickens,9,0.3772689107207436,0.9943580621295846,0.47619047619047616
nci,1,0.11969945261954473,0.8665144205875246,0.7156398104265402
nci,2,0.11464813821650802,0.89142080125541,0.7107843137254902
nci,3,0.11122506198692861,0.9271883241347013,0.6666666666666666
nci,4,0.10606937678083428,0.9545126491278086,0.5414364640883977
nci,5,0.0995663783554863,0.9840214100381055,0.4723926380368098
nci,6,0.0941189794371338,0.9812320894203024,0.4715447154471545
nci,7,0.09214913699621603,0.9786563894569553,0.4842105263157895
nci,8,0.08944294691647907,0.984328446324904,0.5294117647058824
nci,9,0.08874227370691742,0.9905216123737651,0.32432432432432434
ooffice,1,0.5181161446196738,0.9682080398126975,0.5588235294117647
ooffice,2,0.512500747700982,0.9723669789052386,0.5625
ooffice,3,0.5103818281354028,0.9826805428459479,0.43548387096774194
ooffice,4,0.5091193512816246,0.991673576594452,0.45
ooffice,5,0.5010360534911784,0.9883902693353624,0.42
ooffice,6,0.49994099663989683,0.9914133443700498,0.2653061224489796
ooffice,7,0.4993122776402297,0.991352713753687,0.34285714285714286
ooffice,8,0.4990951192680593,0.9916521793050395,0.3103448275862069
ooffice,9,0.4989676850137317,0.9914265164353092,0.2857142857142857
mozilla,1,0.3845226362579968,0.9563240248647508,0.55
mozilla,2,0.378982371894992,0.9581033662239236,0.37894736842105264
mozilla,3,0.37628557951819275,0.9635779223363372,0.4375
mozilla,4,0.3745169119852059,0.9820611342390873,0.49206349206349204
mozilla,5,0.36926686356707317,0.9833770308314324,0.3389830508474576
mozilla,6,0.3677863815411335,0.9858804106679551,0.29545454545454547
mozilla,7,0.3666726668707517,0.9845375732467091,0.3333333333333333
mozilla,8,0.3661445968487605,0.9839097993504363,0.3333333333333333
mozilla,9,0.3660100412959816,0.9835173116676205,0.3333333333333333
required_block_states.nbt,1,0.11249933988668684,0.9990871480495117,0.8679245283018868
required_block_states.nbt,2,0.10129250186717766,0.9673273835790384,0.8118081180811808
required_block_states.nbt,3,0.09498559066939262,0.9744971507628603,0.8055555555555556
required_block_states.nbt,4,0.08777715328962754,0.9443711700012175,0.5965665236051502
