file,level,abs_comp_ratio,rel_comp_ratio,rel_comp_time
dickens,1,0.41597139685606377,0.9234476293529673,0.5620915032679739
dickens,2,0.4013580253454372,0.9303244771612461,0.5737704918032787
dickens,3,0.3954816145211856,0.9591591888850631,0.5
dickens,4,0.39185883349296136,0.973176488017064,0.6282051282051282
dickens,5,0.3843192301435789,0.9892362571105682,0.4393939393939394
dickens,6,0.3814846799286452,1.0012295650790128,0.32727272727272727
dickens,7,0.37969472685948,0.9996861465068106,0.3409090909090909
dickens,8,0.36762990944470053,0.9689527918903802,0.9285714285714286
dickens,9,0.3630073683981254,0.9567692781510538,1.3
nci,1,0.12161901706367259,0.8804103092961442,0.6686046511627907
nci,2,0.11638387652892274,0.9049166439380053,0.6603174603174603
nci,3,0.11283064972911128,0.940572737515388,0.6370106761565836
nci,4,0.10760653637800828,0.9683454661364583,0.5396825396825397
nci,5,0.09972546783199161,0.9855937023478053,0.4824561403508772
nci,6,0.09475402600239707,0.9878527314187494,0.45555555555555555
nci,7,0.0931647704132914,0.9894427751504817,0.48905109489051096
nci,8,0.09866766288826677,1.0858473547836924,1.3478260869565217
nci,9,0.09268815765415445,1.034564695409537,1.1333333333333333
ooffice,1,0.518518440256741,0.9689598130863831,0.5350877192982456
ooffice,2,0.5126875104027963,0.9727213235280512,0.5238095238095238
ooffice,3,0.5101924647345206,0.982315945755464,0.46808510638297873
ooffice,4,0.5086398473909787,0.9907395886463792,0.4772727272727273
ooffice,5,0.5023798021908289,0.9910410728651925,0.39473684210526316
ooffice,6,0.5013400101947404,0.9941876731739456,0.3188405797101449
ooffice,7,0.5007551779918442,0.9942175004679442,0.3064516129032258
ooffice,8,0.49354311438914783,0.9806208998452062,0.6363636363636364
ooffice,9,0.4885492845476864,0.9707256197818616,0.8125
mozilla,1,0.3865404424167833,0.9613423939416569,0.5324675324675324
mozilla,2,0.3808639630085466,0.9628602069464602,0.5323741007194245
mozilla,3,0.37821051266993205,0.968507218562263,0.453125
mozilla,4,0.37599633974535185,0.985940501118549,0.4827586206896552
mozilla,5,0.3713358211402939,0.9888867733943483,0.39805825242718446
mozilla,6,0.3700220888207217,0.9918734004075362,0.3111111111111111
mozilla,7,0.3690187011133047,0.9908368125099699,0.32857142857142857
mozilla,8,0.36395865481932227,0.9780356998769306,0.5454545454545454
mozilla,9,0.3596742162509996,0.9664921131419933,0.47058823529411764
required_block_states.nbt,1,0.11316322527592737,1.0049829991792707,0.8838709677419355
required_block_states.nbt,2,0.10178004269990117,0.9719833214758513,0.8603896103896104
required_block_states.nbt,3,0.09536374129593446,0.9783767571908166,0.8576388888888888
required_block_states.nbt,4,0.0890549440601118,0.958118582849722,0.6627906976744186
required_block_states.nbt,5,0.08633622022888958,1.003782562933076,0.6322314049586777
required_block_states.nbt,6,0.07698335760035609,1.0821612736455586,0.5282051282051282
required_block_states.nbt,7,0.07059440374793478,1.0111297206764276,0.6511627906976745
